City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Bara,NG,10.3744,10.7288,70.68,93,100,1.39,overcast clouds
168,Ballina,AU,-28.8667,153.5667,60.01,90,100,19.71,light rain
169,Flinders,AU,-34.5833,150.8552,62.19,77,91,3.0,light rain
170,Namwala,ZM,-15.7504,26.4384,57.52,78,32,4.99,scattered clouds
171,Hobyo,SO,5.3505,48.5268,75.99,76,26,21.72,scattered clouds
172,Saskylakh,RU,71.9167,114.0833,59.02,46,30,19.62,scattered clouds
173,Tiksi,RU,71.6872,128.8694,42.33,78,17,21.63,few clouds
174,Miri,MY,4.4148,114.0089,87.24,62,99,4.21,overcast clouds
175,Laguna,US,38.421,-121.4238,87.62,37,0,9.22,clear sky
176,Zhovti Vody,UA,48.3473,33.5003,58.68,76,0,10.47,clear sky
177,Tarko-Sale,RU,64.9225,77.785,56.17,60,60,9.93,broken clouds
178,Barra Do Garcas,BR,-15.89,-52.2567,66.18,41,3,2.73,clear sky
179,Yulara,AU,-25.2406,130.9889,66.24,24,6,10.74,clear sky
180,Hilo,US,19.7297,-155.09,79.29,81,20,10.36,few clouds
181,Barrow,US,71.2906,-156.7887,46.42,76,0,13.8,clear sky
182,Salalah,OM,17.0151,54.0924,75.29,100,100,6.91,mist
183,Troitsko-Pechorsk,RU,62.7084,56.1964,60.66,82,82,2.59,broken clouds
184,Dunedin,NZ,-45.8742,170.5036,45.81,65,92,15.01,overcast clouds
185,Valer,NO,60.6785,11.8331,62.71,78,100,3.44,overcast clouds
186,San Pedro,PH,14.35,121.0167,83.43,78,75,2.3,light rain
187,Ostrovnoy,RU,68.0531,39.5131,52.2,84,24,3.38,few clouds
188,Beyneu,KZ,45.3167,55.2,84.79,24,58,17.65,broken clouds
189,Ribeira Grande,PT,38.5167,-28.7,72.41,86,7,3.4,clear sky
190,Alappuzha,IN,9.49,76.3264,79.68,83,98,13.69,overcast clouds
191,Half Moon Bay,US,37.4636,-122.4286,65.91,84,100,14.97,mist
192,Khasan,RU,42.4308,130.6434,68.02,98,100,5.39,overcast clouds
193,Bengkulu,ID,-3.8004,102.2655,83.68,68,24,3.98,few clouds
194,Vardo,NO,70.3705,31.1107,53.58,94,70,6.91,broken clouds
195,La Asuncion,VE,11.0333,-63.8628,78.39,89,9,10.76,clear sky
196,Leninsk,RU,48.7119,45.1994,75.81,46,12,15.28,few clouds
197,Banda Aceh,ID,5.5577,95.3222,87.35,58,85,12.3,overcast clouds
198,Porto Novo,BJ,6.4965,2.6036,72.41,79,100,6.15,overcast clouds
199,Kuraymah,SD,18.55,31.85,88.43,16,97,5.32,overcast clouds
200,Conselheiro Pena,BR,-19.1722,-41.4722,65.1,94,1,3.29,clear sky
201,Conde,BR,-7.2597,-34.9075,71.82,93,98,6.69,overcast clouds
202,Mendi,PG,-6.1761,143.6513,60.89,94,97,1.77,light rain
203,Korsor,DK,55.3299,11.1386,69.98,58,25,12.44,scattered clouds
204,Katesh,TZ,-4.5167,35.3833,49.96,95,52,6.6,broken clouds
205,Qasigiannguit,GL,68.8193,-51.1922,48.45,95,100,7.25,light rain
206,Qujing,CN,25.4833,103.7833,71.02,76,98,8.25,overcast clouds
207,Cidreira,BR,-30.1811,-50.2056,60.84,95,4,12.33,clear sky
208,Klaksvik,FO,62.2266,-6.589,49.12,91,79,17.74,broken clouds
209,Sahbuz,AZ,39.4072,45.5739,76.6,44,0,3.18,clear sky
210,Sur,OM,22.5667,59.5289,86.29,70,87,8.57,overcast clouds
211,Mogadishu,SO,2.0371,45.3438,75.56,83,68,17.54,broken clouds
212,Antalaha,MG,-14.9003,50.2788,67.24,86,32,8.79,light rain
213,Saint Anthony,US,45.0205,-93.218,80.53,61,0,9.22,clear sky
