City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Ereymentau,KZ,2022-07-20 17:52:48,51.6199,73.1033,67.6,75,66,5.26
100,Kapaa,US,2022-07-20 17:49:28,22.0752,-159.319,75.52,87,75,9.22
101,Kirakira,SB,2022-07-20 17:52:49,-10.4544,161.9205,78.85,85,33,6.6
102,Grand Gaube,MU,2022-07-20 17:52:49,-20.0064,57.6608,71.38,54,93,8.01
103,Bilma,NE,2022-07-20 17:52:50,18.6853,12.9164,99.59,13,39,4.7
104,Sao Miguel Do Araguaia,BR,2022-07-20 17:52:50,-13.275,-50.1628,93.11,20,14,4.85
105,Sao Filipe,CV,2022-07-20 17:52:51,14.8961,-24.4956,76.73,87,88,2.8
106,Tabuk,PH,2022-07-20 17:52:51,17.4189,121.4443,75.87,89,7,1.95
107,Adrar,MR,2022-07-20 17:52:52,20.5022,-10.0711,105.94,11,15,11.41
108,Khorinsk,RU,2022-07-20 17:52:53,52.1657,109.7726,51.76,92,21,3.42
109,Bengkulu,ID,2022-07-20 17:52:53,-3.8004,102.2655,76.68,89,83,3.27
110,Lompoc,US,2022-07-20 17:52:53,34.6391,-120.4579,83.7,82,20,6.91
111,Port Blair,IN,2022-07-20 17:52:54,11.6667,92.75,78.35,84,100,14.03
112,Tual,ID,2022-07-20 17:52:54,-5.6667,132.75,78.89,77,86,17.67
113,Pangnirtung,CA,2022-07-20 17:52:55,66.1451,-65.7125,48.2,87,100,2.3
114,Berea,US,2022-07-20 17:52:55,41.3662,-81.8543,89.11,64,34,4.0
115,Castro,BR,2022-07-20 17:52:55,-24.7911,-50.0119,69.58,66,63,4.25
116,Necochea,AR,2022-07-20 17:52:56,-38.5473,-58.7368,63.34,50,1,20.49
117,Hokitika,NZ,2022-07-20 17:52:56,-42.7167,170.9667,45.54,78,100,3.53
118,Paraiso,CR,2022-07-20 17:52:57,9.8383,-83.8656,76.06,91,95,3.6
119,Tura,IN,2022-07-20 17:52:57,25.5198,90.2201,75.15,96,100,5.88
120,Mehamn,NO,2022-07-20 17:52:57,71.0357,27.8492,55.35,94,20,3.44
121,Hamilton,US,2022-07-20 17:52:58,39.1834,-84.5333,91.94,69,40,12.66
122,Thompson,CA,2022-07-20 17:52:59,55.7435,-97.8558,62.76,82,75,6.91
123,Cabadiangan,PH,2022-07-20 17:52:59,9.7531,122.4739,78.15,86,72,1.7
124,Te Anau,NZ,2022-07-20 17:53:00,-45.4167,167.7167,39.27,95,98,3.42
125,Nerchinskiy Zavod,RU,2022-07-20 17:53:00,51.3088,119.61,61.12,83,0,1.45
126,Touros,BR,2022-07-20 17:53:00,-5.1989,-35.4608,80.46,64,37,15.88
127,Hambantota,LK,2022-07-20 17:53:01,6.1241,81.1185,79.12,84,90,19.28
128,Valladolid,ES,2022-07-20 17:48:53,41.5833,-4.6667,91.83,23,0,6.15
129,Ahipara,NZ,2022-07-20 17:53:02,-35.1667,173.1667,54.54,72,36,17.34
130,Glace Bay,CA,2022-07-20 17:53:03,46.1969,-59.957,72.05,72,75,21.85
131,Ishigaki,JP,2022-07-20 17:53:03,24.3448,124.1572,82.53,94,75,10.36
132,Tiksi,RU,2022-07-20 17:53:04,71.6872,128.8694,36.03,95,96,12.53
133,Saint-Philippe,RE,2022-07-20 17:53:04,-21.3585,55.7679,71.19,72,36,14.67
134,Barrow,US,2022-07-20 17:52:18,71.2906,-156.7887,46.42,81,0,8.05
135,Wamba,NG,2022-07-20 17:53:06,8.9333,8.6,72.34,95,98,1.61
136,Victoria Point,AU,2022-07-20 17:53:07,-27.5833,153.3,61.11,86,100,5.99
137,Ilulissat,GL,2022-07-20 17:54:07,69.2167,-51.1,48.6,57,100,6.46
138,Arraial Do Cabo,BR,2022-07-20 17:54:08,-22.9661,-42.0278,75.16,78,75,12.66
139,Okha,RU,2022-07-20 17:54:08,53.5739,142.9478,54.9,96,95,8.61
140,Krasnyy Chikoy,RU,2022-07-20 17:54:09,50.3643,108.7512,53.2,90,77,2.71
141,Mongu,ZM,2022-07-20 17:54:10,-15.2484,23.1274,63.97,33,3,5.59
142,Nadvoitsy,RU,2022-07-20 17:54:10,63.8667,34.3167,65.32,66,0,12.86
143,Talaya,RU,2022-07-20 17:54:11,61.3833,152.75,56.48,80,77,6.55
144,High Prairie,CA,2022-07-20 17:54:11,55.4334,-116.4858,70.0,38,19,10.4
145,Constitucion,CL,2022-07-20 17:54:11,-35.3333,-72.4167,58.89,69,9,5.06
146,Mahon,ES,2022-07-20 17:49:27,39.8885,4.2658,86.56,58,0,10.36
147,Geraldton,AU,2022-07-20 17:54:12,-28.7667,114.6,66.61,88,75,9.22
148,Safaga,EG,2022-07-20 17:52:17,26.7292,33.9365,90.55,44,0,6.96
149,Lyuban,BY,2022-07-20 17:54:14,52.7985,28.0048,59.97,72,3,7.54
150,San Patricio,US,2022-07-20 17:54:14,28.017,-97.5169,93.54,42,1,18.75
151,Sovetskiy,RU,2022-07-20 17:49:15,61.3614,63.5842,62.64,77,99,5.79
152,Lukovetskiy,RU,2022-07-20 17:54:15,64.2956,41.9211,67.26,72,57,4.56
153,Yeppoon,AU,2022-07-20 17:54:15,-23.1333,150.7333,60.58,87,100,16.2
154,Coolum Beach,AU,2022-07-20 17:54:16,-26.5333,153.1,62.11,83,95,17.69
155,Sabang,ID,2022-07-20 17:54:16,5.8933,95.3214,82.98,75,100,21.09
156,Galveston,US,2022-07-20 17:54:16,29.3669,-94.9669,100.02,67,40,13.8
157,Shizunai,JP,2022-07-20 17:54:17,42.3339,142.3669,64.92,98,99,1.95
158,Miramar,US,2022-07-20 17:54:17,25.9873,-80.2323,94.01,62,1,5.01
159,Dunedin,NZ,2022-07-20 17:54:18,-45.8742,170.5036,43.81,89,95,11.99
160,Macusani,PE,2022-07-20 17:54:18,-14.0833,-70.4333,49.82,21,84,10.94
161,Umm Lajj,SA,2022-07-20 17:54:19,25.0213,37.2685,89.49,53,1,6.82
162,Ponta Do Sol,PT,2022-07-20 17:54:11,32.6667,-17.1,77.72,76,0,3.91
163,Maceio,BR,2022-07-20 17:54:03,-9.6658,-35.7353,78.24,83,75,12.66
164,Svetlyy,RU,2022-07-20 17:54:20,54.675,20.1347,71.65,69,29,3.74
165,Coihueco,CL,2022-07-20 17:54:20,-36.6167,-71.8333,45.34,100,100,0.0
166,Vila Franca Do Campo,PT,2022-07-20 17:54:21,37.7167,-25.4333,72.01,71,48,2.46
167,Shingu,JP,2022-07-20 17:54:21,33.7333,135.9833,74.77,72,98,5.28
168,Port-Gentil,GA,2022-07-20 17:54:22,-0.7193,8.7815,76.96,83,75,9.22
169,Harper,LR,2022-07-20 17:54:22,4.375,-7.7169,76.23,71,89,7.78
170,Jamestown,US,2022-07-20 17:54:22,42.097,-79.2353,87.94,55,40,11.5
171,Hanzhong,CN,2022-07-20 17:54:23,33.0728,107.0303,70.65,87,6,1.68
172,Virden,US,2022-07-20 17:54:23,39.5009,-89.7679,90.05,63,0,13.2
173,Umm Kaddadah,SD,2022-07-20 17:54:24,13.6017,26.6876,87.93,42,42,4.03
174,Torbay,CA,2022-07-20 17:54:24,47.6666,-52.7314,71.28,77,42,19.48
175,Kavaratti,IN,2022-07-20 17:54:24,10.5669,72.642,80.96,81,100,20.29
176,Carnarvon,AU,2022-07-20 17:53:37,-24.8667,113.6333,70.88,76,0,17.16
177,Kyra,RU,2022-07-20 17:54:25,49.5776,111.9753,54.39,94,66,4.27
178,Takoradi,GH,2022-07-20 17:54:26,4.8845,-1.7554,75.4,68,100,8.19
179,Yanam,IN,2022-07-20 17:54:26,16.7333,82.2167,80.87,84,41,4.47
180,Whakatane,NZ,2022-07-20 17:54:27,-37.9585,176.9854,49.77,98,47,7.74
181,Severo-Yeniseyskiy,RU,2022-07-20 17:54:27,60.3725,93.0408,47.84,97,50,4.92
182,Murwillumbah,AU,2022-07-20 17:54:28,-28.3167,153.4,59.02,72,75,17.27
183,Adre,TD,2022-07-20 17:54:28,13.4667,22.2,73.4,80,84,16.6
184,Namibe,AO,2022-07-20 17:55:29,-15.1961,12.1522,62.91,83,8,7.36
